한글,영어,일어
인텔 80286,Intel 80286,
인텔 80386,Intel 80386,
인텔 80486,Intel 80486,
인텔 8086,Intel 8086,
인텔 8088,Intel 8088,
인텔사,Intel Corporation,
지적 재산권,intellectual property right,知的所有?                                                                                                                                                                                                                                                          
지적 소유권,intellectual property rights,知的所有?                                                                                                                                                                                                                                                          
지적 공학,intellectual technology,
지능 대리자,intelligent agent,
지능 빌딩,intelligent building,
지적 캐드,intelligent CAD,
지능 컴퓨터 이용학습,intelligent CAI,インテリジェントCAI                                                                                                                                                                                                                                                    
지능형 도시,intelligent city,
지능 제어기,intelligent controller,
지능 플로피디스크 제어기,intelligent floppy disk controller,
지적 인터페이스,intelligent interface,
지능 모뎀,intelligent modem,
지능망,intelligent network,インテリジェントネットワ?ク                                                                                                                                                                                                                                                 
지능화 사무실,intelligent office,
지적 프로그래밍,intelligent programming,
지능 로봇,intelligent robot,知能ロボット                                                                                                                                                                                                                                                         
지능 전화기,intelligent telephone,
지능 단말 장치 응용,intelligent terminal application,
지능 단말 시스템,intelligent terminal system,
지능 시분할 다중화,Intelligent Time Division Multiplexing,
지능 음성 단말기,intelligent voice terminal,
지능 단말국,intelligent workstation,
국제 전자 우편 서비스,INTELPOST,
인텔샛,INTELSAT,インテルサット                                                                                                                                                                                                                                                        
인텔샛 비즈니스 서비스,INTELSAT Business Service,
의도된 수신자,intended recipient,指定受信者                                                                                                                                                                                                                                                          
내포 데이터 베이스,intensional database,
내포적 논리,intensional logic,
휘도,intensity,
작업간 통신,inter job communication,
대화형 통합 데이터 처리 시스템,INTERACT,
목적 상호 작용,interacting goals,
상호 작용,interaction,相互作用                                                                                                                                                                                                                                                           
대화 시간,interaction time,インタラクション時間                                                                                                                                                                                                                                                     
대화형 컴퓨터 그래픽스,interactive computer graphics,?話型コンピュ?タグラフィクス                                                                                                                                                                                                                                                
대화형 계산 방식,interactive computing,?話式計算?理                                                                                                                                                                                                                                                        
대화식 계산 시스템,interactive computing system,
대화식 결함 수정,interactive debugging,
대화형 설계 시스템,interactive design system,
대화형 환경,interactive environment,?話形環境                                                                                                                                                                                                                                                          
대화형 그래픽,interactive graphics,
잉그레스,Interactive Graphics and Retrieval System,
대화형 화상 처리 시스템,interactive image processing system,?話形?像?理システム                                                                                                                                                                                                                                                    
대화형 멀티미디어 협회,Interactive Multimedia Association,
대화형 처리,interactive processing,
대화식 프로그램,interactive program,?話型プログラム                                                                                                                                                                                                                                                       
대화식 조회 기능,interactive query facility,?話式照?機能                                                                                                                                                                                                                                                        
대화형 시뮬레이터,interactive simulator,
대화형 시스템,interactive system,
대화형 단말기,interactive terminal,?話形端末?置                                                                                                                                                                                                                                                        
대화식 단말 처리,interactive terminal processing,
대화형 훈련,interactive training,?話式訓練                                                                                                                                                                                                                                                          
양방향 텔레비전,interactive TV,
대화형 영상정보,interactive videography,ビデオテックス                                                                                                                                                                                                                                                        
오류 정정 후 송출,intercepting,
중계 회로,interchange circuit,
교환 정렬,interchange sort,
상호 접속,interconnection,相互接?                                                                                                                                                                                                                                                           
상호 연결망,interconnection network,相互結合網                                                                                                                                                                                                                                                          
상호접속성,interconnectivity,相互接?性                                                                                                                                                                                                                                                          
관련 분야,interest world,
중계 채널,interexchange channel,
인터페이스,interface,インタフェ?ス                                                                                                                                                                                                                                                        
접속기,interface adapter,インタ?フェイスアダプタ                                                                                                                                                                                                                                                   
인터페이스 카드,interface card,
인터페이스 회로,interface circuit,
인터페이스 제어 장치,Interface Control Unit,
인터페이스 정의 언어,Interface Definition Language,インタフェ?ス定義言語                                                                                                                                                                                                                                                    
접속 설계,interface design,
접속 시험 처리 장치,interface message processor,インタフェ?スメッセ?ジプロセッサ                                                                                                                                                                                                                                              
인터페이스 처리 장치,interface processor,インタフェ?スプロセッサ                                                                                                                                                                                                                                                   
접속 요구 사항,interface requirement,
접속 명세서,interface specification,
접속 시험,interface testing,
접속 유형,interface types,
간섭,interference,"干涉, 妨害                                                                                                                                                                                                                                                         "
방해 검출,interference detection,
방해 검출 방식,interference detection system,妨害?出方式                                                                                                                                                                                                                                                         
간섭 여과기,interference filter,干涉フィルタ                                                                                                                                                                                                                                                         
간섭계,interferometer,干?計                                                                                                                                                                                                                                                            
내부 게이트웨이 프로토콜,Interior Gateway Protocol,
언어간 기능,interlanguage facilities,
틈새 있는 배열,interleaved array,すきまのある配列                                                                                                                                                                                                                                                       
인터리빙,interleaving,インタリ?ビング                                                                                                                                                                                                                                                       
인터록,interlock,連動?置                                                                                                                                                                                                                                                           
인터미디어,Intermedia,
중해심 케이블,intermediate cable,
중간 코드,intermediate code,中間コ?ド                                                                                                                                                                                                                                                          
중간 배선반,intermediate distributing frame,中間配線盤                                                                                                                                                                                                                                                          
중간 장치,intermediate equipment,中間?置                                                                                                                                                                                                                                                           
중간 파일,intermediate file,中間ファイル                                                                                                                                                                                                                                                         
중간 주파 증폭기,intermediate frequency amplifier,中間周波?幅器                                                                                                                                                                                                                                                        
중간 언어,intermediate language,中間言語                                                                                                                                                                                                                                                           
중간 마디,intermediate node,中間ノ?ド                                                                                                                                                                                                                                                          
중간 결과,intermediate result,中間結果                                                                                                                                                                                                                                                           
중간 기억 장소,intermediate storage,中間記憶領域                                                                                                                                                                                                                                                         
중간 체계,intermediate system,中間システム                                                                                                                                                                                                                                                         
간헐적 표명,intermittent assertion,
간헐적 접촉,intermittent contact,
간헐적 오류,intermittent error,間欠的エラ?                                                                                                                                                                                                                                                         
간헐적 고장,intermittent failure,間欠的故障                                                                                                                                                                                                                                                          
상호 변조,intermodulation,相互?調                                                                                                                                                                                                                                                           
혼변조 잡음,intermodulation noise,準漏話?音                                                                                                                                                                                                                                                          
내외부 끼어들기,internal and external interrupt,
내부 블록,internal block,
내부 버스,internal bus,
내부 클록,internal clock,?部クロック                                                                                                                                                                                                                                                         
내부 코드,internal code,?部コ?ド                                                                                                                                                                                                                                                          
내부 명령어,internal command,?部コマンド                                                                                                                                                                                                                                                         
내부 상수,internal constant,
내부 통제,internal control,內部統制                                                                                                                                                                                                                                                           
내부 변환 루틴,internal conversion routine,
내부 데이터,internal data,
내부 데이터 버스,internal data bus,?部デ?タバス                                                                                                                                                                                                                                                        
내부 10진 항목,internal decimal item,
내부 파일,internal file,
내부 파일 결합자,internal file connector,
내부폰트,internal font,
내부 단편화,internal fragmentation,?部?片形成                                                                                                                                                                                                                                                         
내부 표지,internal indicator,
내부 정보,internal information,
내부 인터럽트,internal interrupt,?部割り?み                                                                                                                                                                                                                                                         
내부 레이블,internal label,?部ラベル                                                                                                                                                                                                                                                          
내부 수준,internal level,?部レベル                                                                                                                                                                                                                                                          
내부 기억,internal memory,?部メモリ                                                                                                                                                                                                                                                          
내부 모뎀,internal modem,
내부 이름,internal name,?部名                                                                                                                                                                                                                                                            
내부 잡음,internal noise,
내부 경로 길이,internal path length,
내부 절차,internal procedure,
내부 구도,internal schema,?部スキ?マ                                                                                                                                                                                                                                                         
내부 정렬,internal sort,?部ソ?ト                                                                                                                                                                                                                                                          
내부 상태,internal state,
내부 문번호,internal statement number,
내부 저장,internal storage,?部記憶?置                                                                                                                                                                                                                                                         
내부 기억 장치,internal store,
내부 타이머,internal timer,?部タイマ                                                                                                                                                                                                                                                          
내부 변수,internal variable,
내부 가상 회로,internal virtual circuit,
내장 프로그램,internally stored program,
국제 대수 언어,International Algebraic Language,
국제 방송,international broadcasting,
국제 호,international call,
국제 컴퓨터 센터,International Computation Center,
국제 컴퓨터 교육 협의회,International Council for Computers in Education,
국제 전기 표준 회의,International Electrotechnical Commission,?際電?標準?議                                                                                                                                                                                                                                                       
국제 도큐멘테이션 연맹,International Federation for Documentation,
국제 정보 처리 연합,International Federation for Information Processing,
국제 무선 주파수 등록 위원회,International Frequency Registration Board,
인공 지능 국제 회의,International Joint Conference on Artificial Intelligence,
국제망,international network,
국제 원자력 정보 시스템,International Nuclear Information System,
국제 음성 학회,International Phonetic Association,
국제 무선 통신 자문 위원회,International Radio Consultative committee,
국제 표준,International Standard,?際規格                                                                                                                                                                                                                                                           
국제 표준 도서 번호,international standard book number,
국제 전신 부호,international telegraph alphabet code,
국제 전신 전화 자문 위원회,International Telegraph and Telephone Consultative Committee,
국제 전화 전신 회사,international Telephone,
국제 전화망,international telephone network,
인터넷,Internet,インタ?ネット                                                                                                                                                                                                                                                        
인터넷 주소,Internet address,
인터넷 아키텍처 위원회,Internet Architecture Board,
인터넷 번호할당 권한,Internet Assigned Numbers Authority,
인터넷 카페,Internet cafe,
인터넷 제어메시지 통신규약,Internet Control Message Protocol,
인터넷 기술운영 그룹,Internet Engineering Steering Group,
인터넷 기술 태스크 포스,Internet Engineering Task Force,インタ?ネット技術標準化委員?                                                                                                                                                                                                                                                
인터넷 실험 기록,Internet Experiment Note,
인터넷 익스플로러,Internet Explorer,インタ?ネットエクスプロ?ラ                                                                                                                                                                                                                                                 
인터넷 메시지 접근 프로토콜,Internet Message Access Protocol,
인터넷 월간 리포트,Internet Monthly Report,
인터넷 영화 데이터베이스,Internet Movie Database,
인터넷 프로토콜,Internet Protocol,インタ?ネットプロトコル                                                                                                                                                                                                                                                   
IPng,Internet Protocol next generation,
인터넷 라디오,Internet radio,インタ?ネット?ラジオ                                                                                                                                                                                                                                                    
인터넷 대화와 토론,Internet relay chat,インタ?ネット?リレ??チャット                                                                                                                                                                                                                                               
인터넷 연구운영 그룹,Internet Research Steering Group,
인터넷 연구 태스크 포스,Internet Research Task Force,
인터넷 서비스 제공자,Internet Service Provider,
인터넷 소사이어티,Internet Society,インタ?ネット?ソサエティ                                                                                                                                                                                                                                                  
인터넷 토크 라디오,Internet Talk Radio,
인터넷 TV,Internet TV,
인터넷 언더그라운드 음악 아카이브,Internet Underground Music Archive,
인터넷 웜,Internet worm,
인터넷 드래프트,Internet-Draft,
통신망간 연결,internetwork,インタ?ネットワ?ク                                                                                                                                                                                                                                                     
망간 접속,internetwork connection,
망간 패킷 교환,internetwork packet exchange,
인터네트워킹,internetworking,インタ?ネットワ?キング                                                                                                                                                                                                                                                   
상호운용성,interoperability,相互運用性                                                                                                                                                                                                                                                          
개인간 메시지,interpersonal message,個人間メッセ?ジ                                                                                                                                                                                                                                                       
개인간 통신문처리,interpersonal messaging,個人間メッセ?ジ通信                                                                                                                                                                                                                                                     
개인간 통신문처리 서비스,interpersonal messaging service,個人間メッセ?ジ通信サ?ビス                                                                                                                                                                                                                                                 
개인 상호 간 메시지 통신 시스템,interpersonal messaging system,個人間メッセ?ジ通信システム                                                                                                                                                                                                                                                 
개인 상호간 통지,interpersonal notification,個人間通知                                                                                                                                                                                                                                                          
보간법,interpolation,補間                                                                                                                                                                                                                                                             
인터프리터 장치,interpreter device,
인터프리터 지시문,interpreter directive,インタプリタ指示文                                                                                                                                                                                                                                                      
통역 부호,interpretive code,解??行コ?ド                                                                                                                                                                                                                                                        
해석적 명령어,interpretive instruction,
통역 프로그램,interpretive program,解??行プログラム                                                                                                                                                                                                                                                      
프로세스간 통신,interprocess communication,プロセス間交信                                                                                                                                                                                                                                                        
레지스터 간 전송,inter-register transfer,
문의,interrogation,問合せ                                                                                                                                                                                                                                                            
인터럽트 응답,Interrupt Acknowledge,
중단 신호 시계,interrupt clock,
인터럽트 제어 루틴,interrupt control routine,割?み制御ル?チン                                                                                                                                                                                                                                                      
인터럽트 제어기,interrupt controller,
인터럽트 사이클,interrupt cycle,
인터럽트 처리,interrupt handling,
인터럽트 입출력,interrupt I/O,割?みI/O                                                                                                                                                                                                                                                         
인터럽트 식별,interrupt identification,
인터럽트 대기 시간,interrupt latency,割?み待ち時間                                                                                                                                                                                                                                                        
인터럽트 순위,interrupt level,割?み順位                                                                                                                                                                                                                                                          
인터럽트 마스크,interrupt mask,割?みマスク                                                                                                                                                                                                                                                         
인터럽트 동작,interrupt operation,
인터럽트 패킷,interrupt packet,
인터럽트 우선 순위,interrupt priority,割り?み優先順位                                                                                                                                                                                                                                                       
인터럽트 우선 칩,interrupt priority chip,
인터럽트 우선순위 시스템,interrupt priority system,
끼어들기 등록기,interrupt register,割?みレジスタ                                                                                                                                                                                                                                                        
인터럽트 금지 해제,interrupt release,
인터럽트 요구,interrupt request,割?み要求                                                                                                                                                                                                                                                          
인터럽트 요구 신호,interrupt request signal,
인터럽트 응답 시간,interrupt response time,
인터럽트 루틴,interrupt routine,
인터럽트 주사기,interrupt scanner,
인터럽트 서비스 루틴,interrupt service routine,
인터럽트 신호,interrupt signal,割?み信?                                                                                                                                                                                                                                                          
인터럽트 상태 레지스터,Interrupt Status register,
인터럽트 상태어,interrupt status word,
인터럽트 시스템,interrupt system,
인터럽트 벡터,interrupt vector,割り?みベクトル                                                                                                                                                                                                                                                       
인트럽트 구동,Interrupt-driven,
인터럽트 가능 명령,interruptible instruction,割?み可能命令                                                                                                                                                                                                                                                        
인터럽트 부호,interruption code,
끼어들기 보류,interruption pending,割?み保留                                                                                                                                                                                                                                                          
끼어들기 대기열,interruption queue,
끼어들기 방식,interruption system,
위성 간 통신,intersatellite communication,
부호간 간섭,intersymbol interference,符?間干?                                                                                                                                                                                                                                                          
구간 연산,interval arithmetic,
구간 추정,interval estimation,
간격 시간측정기,interval timer,間隔計時機構                                                                                                                                                                                                                                                         
개입 요구,intervention required,介入要求                                                                                                                                                                                                                                                           
망간 접속 장치,interworking unit,網間接??置                                                                                                                                                                                                                                                         
내부검사 루프,in-test loop,途中判定ル?プ                                                                                                                                                                                                                                                        
난제,intractable problem,
인트라넷,intranet,イントラネット                                                                                                                                                                                                                                                        
고유한,intrinsic,定義?み                                                                                                                                                                                                                                                           
진성 도전율,intrinsic conductivity,
진성 반도체,intrinsic semiconductor,?性半導?                                                                                                                                                                                                                                                          
침입 탐지,intrusion detection,侵入?知システム                                                                                                                                                                                                                                                       
직관주의 논리,intuitionism,
무효의,invalid,
무효 비트,invalid bit,
무효코드,invalid code,無?コ?ド                                                                                                                                                                                                                                                          
무효의 배타적 참조,invalid exclusive reference,
무효 프레임,invalid frame,
무효의 키 조건,invalid key condition,
무효 페이지,invalid page,無?ペ?ジ                                                                                                                                                                                                                                                          
변하지않는,invariant,
재고,inventory,
재고 관리,inventory control,在庫管理                                                                                                                                                                                                                                                           
재고 관리 시스템,inventory control system,
재고 관리 프로그램과 제어 기술,inventory management program and control techniques,
재고 관리 시뮬레이터,inventory management simulator,在庫管理シミュレ?タ                                                                                                                                                                                                                                                     
역이산 퓨리에 변환,inverse discrete fourier transform,
역함수,inverse function,
역 보간법,inverse interpolation,逆補間                                                                                                                                                                                                                                                            
반전 다중 장치,inverse multiplexer,
역수,inverse number,
역관계,inverse relation,
반전,inversion,"反?, 逆?                                                                                                                                                                                                                                                         "
역전층,inversion layer,逆?層                                                                                                                                                                                                                                                            
반전시키다,invert,
반전된,inverted,?置                                                                                                                                                                                                                                                             
역 파일,inverted file,逆ファイル                                                                                                                                                                                                                                                          
역 색인,inverted index,
역 리스트,inverted list,
역 리스트 모델,inverted list model,
부호 반전 증폭기,inverting amplifier,
수신 요구,invitation to receive,
절차의 호출,invocation of procedure,
송장,invoice,
호출된 절차,invoked procedure,
이온,ion,イオン                                                                                                                                                                                                                                                            
이온 트랩,ion trap,
전리,ionization,イオン化                                                                                                                                                                                                                                                           
이온층,ionosphere,電離層                                                                                                                                                                                                                                                            
전리층 교란,ionospheric disturbance,電離層擾?                                                                                                                                                                                                                                                          
전리층,ionospheric layer,
전리층 폭풍,ionospheric storm,電離層嵐                                                                                                                                                                                                                                                           
전리층파,ionospheric wave,
IP,IP,
IP 멀티캐스트,IP multicast,IPマルチキャスト                                                                                                                                                                                                                                                      
IP 스택,IP stack,
국제 특허 분류 검색 시스템,IPC retrieval system,
